[2018-03-04 00:24:59,918222] front.INFO  [NULL] [d0d3748c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /plugin/products/detail/146/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:28:01,919787] front.INFO  [09d3f9a3] [65e64890] [NULL] [LogListener:onKernelController:73] - LOGIC START ["plugin_products_detail_review"]  [GET, /plugin/products/detail/101/review, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:28:02,518441] front.INFO  [09d3f9a3] [65e64890] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["plugin_products_detail_review"]  [GET, /plugin/products/detail/101/review, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:28:03,327353] front.INFO  [09d3f9a3] [65e64890] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["plugin_products_detail_review"]  [GET, /plugin/products/detail/101/review, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:32:53,250012] front.INFO  [NULL] [ba96871f] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /plugin/products/detail/61/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:32:53,255371] front.INFO  [NULL] [ba96871f] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["plugin_products_detail_review"]  [GET, /plugin/products/detail/61/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:32:53,281923] front.INFO  [add74b60] [ba96871f] [NULL] [LogListener:onKernelController:73] - LOGIC START ["plugin_products_detail_review"]  [GET, /plugin/products/detail/61/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:32:53,928597] front.INFO  [add74b60] [ba96871f] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["plugin_products_detail_review"]  [GET, /plugin/products/detail/61/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:32:54,738145] front.INFO  [add74b60] [ba96871f] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["plugin_products_detail_review"]  [GET, /plugin/products/detail/61/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 00:44:44,860131] front.INFO  [NULL] [e5955aee] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:44,863289] front.INFO  [NULL] [e5955aee] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:44,934724] front.INFO  [117e212a] [e5955aee] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,007625] front.INFO  [117e212a] [e5955aee] [NULL] [Event:onRenderProductDetail:56] - RelatedProduct trigger onRenderProductDetail start   [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,015522] front.INFO  [117e212a] [e5955aee] [NULL] [Event:onRenderProductDetail:77] - Render related product with  {"RELATED_PRODUCT_TAG":"<!--# related-product-plugin-tag #-->"}  [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,015684] front.INFO  [117e212a] [e5955aee] [NULL] [Event:onRenderProductDetail:93] - RelatedProduct trigger onRenderProductDetail finish   [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,025944] front.INFO  [117e212a] [e5955aee] [NULL] [Maker:onRenderProductDetail:170] - Event: product maker hook into the product detail start.   [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,030194] front.INFO  [117e212a] [e5955aee] [NULL] [Maker:onRenderProductDetail:191] - Event: product maker not found. {"Product id":94}  [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,030587] front.INFO  [117e212a] [e5955aee] [NULL] [ProductReviewEvent:onProductDetailRender:32] - Event: product review hook into the product detail start.   [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,043675] front.INFO  [117e212a] [e5955aee] [NULL] [ProductReviewEvent:onProductDetailRender:85] - Event: product review render success. {"Product id":94}  [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,043749] front.INFO  [117e212a] [e5955aee] [NULL] [ProductReviewEvent:onProductDetailRender:86] - Event: product review hook into the product detail end.   [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:45,835752] front.INFO  [117e212a] [e5955aee] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 00:44:46,676738] front.INFO  [117e212a] [e5955aee] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/94, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:28:58,444324] front.INFO  [NULL] [8b1dca77] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=20, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:28:58,446619] front.INFO  [NULL] [8b1dca77] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=20, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:28:58,475717] front.INFO  [6ac9c0d7] [8b1dca77] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=20, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:28:58,590227] front.INFO  [6ac9c0d7] [8b1dca77] [NULL] [Event:onRenderProductList:54] - CategoryContent Product/list.twig start   [GET, /products/list?category_id=20, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:28:59,072374] front.INFO  [6ac9c0d7] [8b1dca77] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=20, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:29:00,096932] front.INFO  [6ac9c0d7] [8b1dca77] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=20, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:39:17,653858] front.INFO  [NULL] [ef447d60] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,656049] front.INFO  [NULL] [ef447d60] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,764289] front.INFO  [379339d2] [ef447d60] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,828449] front.INFO  [379339d2] [ef447d60] [NULL] [Event:onRenderProductDetail:56] - RelatedProduct trigger onRenderProductDetail start   [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,838594] front.INFO  [379339d2] [ef447d60] [NULL] [Maker:onRenderProductDetail:170] - Event: product maker hook into the product detail start.   [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,842201] front.INFO  [379339d2] [ef447d60] [NULL] [Maker:onRenderProductDetail:191] - Event: product maker not found. {"Product id":20}  [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,842536] front.INFO  [379339d2] [ef447d60] [NULL] [ProductReviewEvent:onProductDetailRender:32] - Event: product review hook into the product detail start.   [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,854574] front.INFO  [379339d2] [ef447d60] [NULL] [ProductReviewEvent:onProductDetailRender:85] - Event: product review render success. {"Product id":20}  [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:17,854678] front.INFO  [379339d2] [ef447d60] [NULL] [ProductReviewEvent:onProductDetailRender:86] - Event: product review hook into the product detail end.   [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:18,445780] front.INFO  [379339d2] [ef447d60] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:39:19,167415] front.INFO  [379339d2] [ef447d60] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/20, 207.46.13.110, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 01:40:52,982251] front.INFO  [NULL] [f5716df8] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=7&pageno=5, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 01:40:52,984456] front.INFO  [NULL] [f5716df8] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=7&pageno=5, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 01:40:53,009795] front.INFO  [0284ab35] [f5716df8] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=7&pageno=5, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 01:40:53,539451] front.INFO  [0284ab35] [f5716df8] [NULL] [Event:onRenderProductList:54] - CategoryContent Product/list.twig start   [GET, /products/list?category_id=7&pageno=5, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 01:40:54,183448] front.INFO  [0284ab35] [f5716df8] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=7&pageno=5, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 01:40:55,175416] front.INFO  [0284ab35] [f5716df8] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=7&pageno=5, 66.249.79.65, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 01:57:08,241819] front.INFO  [NULL] [f03c30eb] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=51, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:57:08,273941] front.INFO  [NULL] [f03c30eb] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=51, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:57:08,472070] front.INFO  [4c108b56] [f03c30eb] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=51, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:57:09,172249] front.INFO  [4c108b56] [f03c30eb] [NULL] [Event:onRenderProductList:54] - CategoryContent Product/list.twig start   [GET, /products/list?category_id=51, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:57:09,834539] front.INFO  [4c108b56] [f03c30eb] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=51, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 01:57:10,649145] front.INFO  [4c108b56] [f03c30eb] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=51, 216.244.66.245, NULL, Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)]
[2018-03-04 02:11:22,777169] front.INFO  [NULL] [9ba35ba3] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=162, 157.55.39.49, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:11:22,779596] front.INFO  [NULL] [9ba35ba3] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=162, 157.55.39.49, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:11:22,807462] front.INFO  [db5702d7] [9ba35ba3] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=162, 157.55.39.49, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:11:23,002958] front.INFO  [db5702d7] [9ba35ba3] [NULL] [Event:onRenderProductList:54] - CategoryContent Product/list.twig start   [GET, /products/list?category_id=162, 157.55.39.49, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:11:23,520168] front.INFO  [db5702d7] [9ba35ba3] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=162, 157.55.39.49, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:11:24,245156] front.INFO  [db5702d7] [9ba35ba3] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=162, 157.55.39.49, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:21:08,831506] front.INFO  [NULL] [5ed40544] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=36, 207.46.13.86, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:21:08,834218] front.INFO  [NULL] [5ed40544] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=36, 207.46.13.86, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:21:08,862232] front.INFO  [d4fcdadb] [5ed40544] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=36, 207.46.13.86, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:21:08,976416] front.INFO  [d4fcdadb] [5ed40544] [NULL] [Event:onRenderProductList:54] - CategoryContent Product/list.twig start   [GET, /products/list?category_id=36, 207.46.13.86, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:21:09,501125] front.INFO  [d4fcdadb] [5ed40544] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=36, 207.46.13.86, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:21:10,188790] front.INFO  [d4fcdadb] [5ed40544] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=36, 207.46.13.86, NULL, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
[2018-03-04 02:24:35,634213] front.INFO  [NULL] [b89983dc] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /plugin/products/detail/139/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 02:24:35,639622] front.INFO  [NULL] [b89983dc] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["plugin_products_detail_review"]  [GET, /plugin/products/detail/139/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 02:24:35,666991] front.INFO  [57bb83d4] [b89983dc] [NULL] [LogListener:onKernelController:73] - LOGIC START ["plugin_products_detail_review"]  [GET, /plugin/products/detail/139/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 02:24:36,278720] front.INFO  [57bb83d4] [b89983dc] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["plugin_products_detail_review"]  [GET, /plugin/products/detail/139/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 02:24:37,104468] front.INFO  [57bb83d4] [b89983dc] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["plugin_products_detail_review"]  [GET, /plugin/products/detail/139/review, 66.249.79.68, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-03-04 02:48:11,382373] front.INFO  [NULL] [17311f03] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/20, 126.189.85.162, android-app://com.google.android.googlequicksearchbox, Mozilla/5.0 (Linux; Android 5.0.2; SOL26 Build/23.1.G.2.244) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36]
[2018-03-04 02:48:11,385787] front.INFO  [NULL] [17311f03] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/20, 126.189.85.162, android-app://com.google.android.googlequicksearchbox, Mozilla/5.0 (Linux; Android 5.0.2; SOL26 Build/23.1.G.2.244) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36]
[2018-03-04 02:48:11,484369] front.INFO  [3236fc04] [17311f03] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/20, 126.189.85.162, android-app://com.google.android.googlequicksearchbox, Mozilla/5.0 (Linux; Android 5.0.2; SOL26 Build/23.1.G.2.244) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36]
[2018-03-04 02:48:11,560985] front.INFO  [3236fc04] [17311f03] [NULL] [Event:onRenderProductDetail:56] - RelatedProduct trigger onRenderProductDetail start   [GET, /products/detail/20, 126.189.85.162, android-app://com.google.android.googlequicksearchbox, Mozilla/5.0 (Linux; Android 5.0.2; SOL26 Build/23.1.G.2.244) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36]
[2018-03-04 02:48:11,574629] front.INFO  [3236fc04] [17311f03] [NULL] [Maker:onRenderProductDetail:170] - Event: product maker hook into the product detail start.   [GET, /products/detail/20, 126.189.85.162, android-app://com.google.android.googlequicksearchbox, Mozilla/5.0 (Linux; Android 5.0.2; SOL26 Build/23.1.G.2.244) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36]
